X,Y,Profundidade,Rugosidade,Z,Nó
694855.8015,7460379.656,1.9309,0.02,-1.9309,120
694822.7324,7460371.89,2.3072,0.02,-2.3072,121
694789.6632,7460364.125,2.7071,0.02,-2.7071,122
694725.3964,7460450.198,1.6392,0.02,-1.6392,123
694739.4265,7460421.653,2.0891,0.02,-2.0891,124
694696.8746,7460444.845,1.7365,0.02,-1.7365,125
694710.385,7460413.896,2.0946,0.02,-2.0946,126
694753.4566,7460393.109,2.4169,0.02,-2.4169,127
694760.0677,7460356.178,3.2346,0.02,-3.2346,128
695043.2068,7460262.475,-0.0364,0.15,0.0364,129
695005.0926,7460249.691,-0.0122,0.15,0.0122,130
695022.484,7460313.925,-0.1159,0.02,0.1159,131
694987.7061,7460303.959,-0.0562,0.02,0.0562,132
694673.8081,7460435.767,1.8359,0.02,-1.8359,133
694686.8036,7460403.568,2.0981,0.02,-2.0981,134
695176.1186,7460275.337,-0.0687,0.15,0.0687,135
695221.7917,7460284.245,-0.1276,0.02,0.1276,136
695161.4752,7460224.543,-0.0936,0.15,0.0936,137
695210.9986,7460228.347,0.215,0.02,-0.215,138
695267.4648,7460293.153,-0.2566,0.02,0.2566,139
695260.522,7460232.152,1.0336,0.02,-1.0336,140
695394.7619,7460296.046,-0.2379,0.02,0.2379,141
695392.6273,7460234.957,2.0344,0.02,-2.0344,142
695331.1134,7460294.6,-0.2698,0.02,0.2698,143
695326.5746,7460233.554,1.8782,0.02,-1.8782,144
694609,7460465,2.48,0.15,-2.48,145
694613,7460458,2.48,0.15,-2.48,146
694611,7460461.5,2.48,0.15,-2.48,147
694938.8781,7460351.083,0.6141,0.02,-0.6141,148
694902.3228,7460345.248,1.3507,0.02,-1.3507,149
694865.7675,7460339.413,2.101,0.02,-2.101,150
694831.038,7460332.197,2.7685,0.02,-2.7685,151
694796.3085,7460324.98,3.5762,0.02,-3.5762,152
694723.8953,7460382.947,2.4296,0.02,-2.4296,153
694766.6788,7460319.249,4.3493,0.02,-4.3493,154
694730.4722,7460348.232,3.4101,0.02,-3.4101,155
694737.0491,7460313.517,4.6172,0.02,-4.6172,156
694952.9282,7460293.995,0.3981,0.02,-0.3981,157
694966.9783,7460236.906,0.1296,0.15,-0.1296,158
694650.7415,7460426.689,1.8859,0.02,-1.8859,159
694663.2223,7460393.241,2.0613,0.02,-2.0613,160
694699.7992,7460371.37,2.436,0.02,-2.436,161
694675.703,7460359.792,2.5077,0.02,-2.5077,162
695200.2054,7460172.45,2.1968,0.02,-2.1968,163
695146.8317,7460173.748,1.3855,0.15,-1.3855,164
695253.5791,7460171.151,3.1703,0.02,-3.1703,165
695390.4926,7460173.867,4.3654,0.02,-4.3654,166
695322.0359,7460172.509,4.1423,0.02,-4.1423,167
694595.5,7460447,2.48,0.15,-2.48,168
694591.5,7460453.5,2.48,0.15,-2.48,169
694593.5,7460450.25,2.48,0.15,-2.48,170
694911.2616,7460287.501,1.1872,0.02,-1.1872,171
694920.2005,7460229.754,0.792,0.02,-0.792,172
694869.595,7460281.007,1.9411,0.02,-1.9411,173
694833.8602,7460277.865,2.9524,0.02,-2.9524,174
694798.1253,7460274.723,4.1068,0.02,-4.1068,175
694767.5299,7460273.474,5.1102,0.02,-5.1102,176
694736.9345,7460272.225,5.5774,0.02,-5.5774,177
694705.7791,7460339.272,3.3523,0.02,-3.3523,178
694711.7591,7460307.174,4.3495,0.02,-4.3495,179
694681.086,7460330.312,3.1872,0.02,-3.1872,180
694711.7534,7460270.96,5.3585,0.02,-5.3585,181
694960.4917,7460194.86,0.1587,0.15,-0.1587,182
694913.7138,7460187.708,1.0221,0.02,-1.0221,183
694954.005,7460152.814,0.5788,0.15,-0.5788,184
694626.2792,7460398.698,1.9267,0.02,-1.9267,185
694637.928,7460372.374,2.0142,0.02,-2.0142,186
694649.5768,7460346.051,2.4488,0.02,-2.4488,187
694657.2995,7460320.806,2.9407,0.02,-2.9407,188
695175.4178,7460095.289,6.1617,0.02,-6.1617,189
695229.4978,7460087.958,6.5483,0.02,-6.5483,190
695121.3378,7460102.619,5.5388,0.02,-5.5388,191
695093.2765,7460166.76,0.8021,0.15,-0.8021,192
695070.5076,7460105.138,4.7161,0.02,-4.7161,193
695039.7213,7460159.771,0.514,0.15,-0.514,194
695019.6775,7460107.657,3.0672,0.02,-3.0672,195
695362.0947,7460079.963,6.6571,0.02,-6.6571,196
695295.7963,7460083.96,6.7069,0.02,-6.7069,197
694898.0403,7460138.005,2.1576,0.02,-2.1576,198
694936.9606,7460112.634,2.1008,0.02,-2.1008,199
694996.8632,7460156.293,0.2564,0.15,-0.2564,200
694978.319,7460110.145,1.6852,0.02,-1.6852,201
694578,7460436,2.48,0.15,-2.48,202
694574,7460442,2.48,0.15,-2.48,203
694576,7460439,2.48,0.15,-2.48,204
694873.4226,7460222.601,1.4046,0.02,-1.4046,205
694836.6824,7460223.534,2.5891,0.02,-2.5891,206
694799.9421,7460224.466,4.0588,0.02,-4.0588,207
694768.381,7460227.699,5.3057,0.02,-5.3057,208
694736.8199,7460230.932,5.9578,0.02,-5.9578,209
694686.469,7460300.831,4.1399,0.02,-4.1399,210
694711.7479,7460234.747,5.8059,0.02,-5.8059,211
694686.5724,7460269.697,5.1511,0.02,-5.1511,212
694686.6758,7460238.562,5.6286,0.02,-5.6286,213
694601.8168,7460370.706,2.0212,0.02,-2.0212,214
694612.6337,7460351.508,2.1822,0.02,-2.1822,215
694623.4505,7460332.31,2.3854,0.02,-2.3854,216
694665.0223,7460295.56,4.0038,0.02,-4.0038,217
694633.5131,7460311.3,2.9251,0.02,-2.9251,218
694643.5756,7460290.289,3.9087,0.02,-3.9087,219
695150.6302,7460018.128,8.3286,0.02,-8.3286,220
695205.4165,7460004.765,8.6362,0.02,-8.6362,221
695095.8439,7460031.49,7.9931,0.02,-7.9931,222
695047.7388,7460043.517,7.4586,0.02,-7.4586,223
694999.6337,7460055.543,6.6986,0.02,-6.6986,224
695333.6967,7459986.058,8.7715,0.02,-8.7715,225
695269.5566,7459995.412,8.7216,0.02,-8.7216,226
694882.3667,7460088.302,4.7141,0.02,-4.7141,227
694859.1199,7460163.376,2.5335,0.02,-2.5335,228
694844.8172,7460104.15,4.6339,0.02,-4.6339,229
694919.9162,7460072.453,5.559,0.02,-5.559,230
694959.7749,7460063.998,5.872,0.02,-5.872,231
694552,7460428,2.48,0.15,-2.48,232
694556,7460421.5,2.48,0.15,-2.48,233
694554,7460424.75,2.48,0.15,-2.48,234
694820.6289,7460172.522,3.8493,0.02,-3.8493,235
694804.5755,7460121.511,5.9693,0.02,-5.9693,236
694782.1379,7460181.669,5.2109,0.02,-5.2109,237
694753.1723,7460190.721,6.2415,0.02,-6.2415,238
694724.2067,7460199.772,6.2579,0.02,-6.2579,239
694702.3388,7460206.753,6.1317,0.02,-6.1317,240
694680.4709,7460213.734,5.9716,0.02,-5.9716,241
694666.0651,7460269.146,4.9735,0.02,-4.9735,242
694667.1079,7460242.731,5.4526,0.02,-5.4526,243
694645.5578,7460268.595,4.7999,0.02,-4.7999,244
694660.0214,7460220.722,5.8005,0.02,-5.8005,245
694652.9349,7460198.712,6.2381,0.02,-6.2381,246
694582.7034,7460355.553,2.0951,0.02,-2.0951,247
694594.4193,7460339.054,2.2215,0.02,-2.2215,248
694606.1353,7460322.555,2.3873,0.02,-2.3873,249
694615.7769,7460302.937,3.0457,0.02,-3.0457,250
694625.4186,7460283.319,3.8823,0.02,-3.8823,251
694628.3112,7460266.111,4.5583,0.02,-4.5583,252
695088.29,7459922.817,10.0908,0.02,-10.0908,253
695136.1718,7459896.467,10.5162,0.02,-10.5162,254
695040.4082,7459949.167,9.8054,0.02,-9.8054,255
695244.4894,7459848.047,11.2759,0.02,-11.2759,256
695190.3306,7459872.257,10.8625,0.02,-10.8625,257
694998.6418,7459972.903,9.4471,0.02,-9.4471,258
694956.8755,7459996.638,9.1644,0.02,-9.1644,259
694922.7898,7460015.022,8.9087,0.02,-8.9087,260
694888.7041,7460033.406,8.4111,0.02,-8.4111,261
694858.6033,7460055.959,7.6086,0.02,-7.6086,262
694828.5024,7460078.513,7.1753,0.02,-7.1753,263
694637.6527,7460180.3,6.661,0.02,-6.661,264
694622.3706,7460161.889,6.6141,0.02,-6.6141,265
694609.2765,7460147.733,6.6394,0.02,-6.6394,266
694530,7460414,2.48,0.15,-2.48,267
694534,7460407,2.48,0.15,-2.48,268
694532,7460410.5,2.48,0.15,-2.48,269
