Tempo (s)	Intensidade (m/s)	Direção (graus)
2073600.0000	3.8000	267.2400
2084400.0000	4.3500	247.4400
2095200.0000	4.4600	243.0900
2106000.0000	3.5600	242.5700
2116800.0000	2.7900	239.3900
2127600.0000	3.7200	253.1200
2138400.0000	5.2500	229.0900
2149200.0000	4.0400	203.0100
2160000.0000	1.6000	194.7100
2170800.0000	1.8600	117.6100
2181600.0000	1.3700	16.5800
2192400.0000	1.4300	315.0000
2203200.0000	2.5200	293.6200
2214000.0000	4.2900	174.4500
2224800.0000	0.4090	354.2200
2235600.0000	1.7000	125.9300
2246400.0000	2.4400	92.7700
2257200.0000	2.0300	56.8600
2268000.0000	2.2300	40.8200
2278800.0000	2.1400	30.8700
2289600.0000	1.8500	20.1100
2300400.0000	2.0800	16.3000
2311200.0000	1.3100	114.7300
2322000.0000	2.2200	69.3200
2332800.0000	0.8340	50.1100
2343600.0000	0.5850	302.5800
2354400.0000	1.5500	329.2300
2365200.0000	1.6200	356.9500
2376000.0000	1.5200	295.3500
2386800.0000	2.3900	266.0800
2397600.0000	4.1700	208.8400
2408400.0000	2.6200	196.5300
2419200.0000	1.2300	263.7300
2430000.0000	1.7900	239.6100
2440800.0000	1.9000	245.4000
2451600.0000	1.5000	258.3200
2462400.0000	0.9970	229.7600
2473200.0000	3.2700	191.3600
2484000.0000	2.7500	210.1100
2494800.0000	1.8000	145.1600
2505600.0000	0.6240	130.8400
2516400.0000	0.9780	81.4700
2527200.0000	0.6860	51.0900
2538000.0000	0.0875	211.4900
2548800.0000	0.2890	159.8600
2559600.0000	2.0700	172.2500
2570400.0000	3.9400	144.8200
2581200.0000	3.3300	120.8800
2592000.0000	1.7100	84.7200
2602800.0000	1.2000	117.2900
2613600.0000	1.2700	9.9400
2624400.0000	0.8120	275.5300
2635200.0000	0.5520	323.4000
2646000.0000	0.8340	105.5000
2656800.0000	3.9900	140.6000
2667600.0000	3.2200	102.1100
2678400.0000	2.3800	66.5400
2689200.0000	1.9700	116.2800
2700000.0000	3.0100	53.2400
2710800.0000	2.2500	32.2800
2721600.0000	1.1900	26.9500
2732400.0000	1.4000	51.2100
2743200.0000	1.7500	141.9500
2754000.0000	2.7800	106.8400
2764800.0000	1.5700	50.7700
2775600.0000	1.5000	32.8000
2786400.0000	1.0000	358.8400
2797200.0000	1.3200	325.4700
2808000.0000	1.5400	309.9100
2818800.0000	2.2700	243.5500
2829600.0000	4.0800	210.8400
2840400.0000	2.7700	205.6400
2851200.0000	2.9000	256.6300
2862000.0000	4.0300	260.8500
2872800.0000	4.4600	256.6500
2883600.0000	4.1000	245.1900
2894400.0000	3.9400	220.6800
2905200.0000	4.1400	213.3800
2916000.0000	5.6200	207.8900
2926800.0000	4.6600	202.7100
2937600.0000	2.7400	202.5400
2948400.0000	2.9000	212.3200
2959200.0000	2.0500	236.9300
2970000.0000	2.5000	188.0100
2980800.0000	2.8700	173.2000
2991600.0000	3.4000	207.0900
3002400.0000	4.4400	203.1000
3013200.0000	4.9100	163.5600
3024000.0000	5.4100	160.5600
3034800.0000	4.1400	146.0400
3045600.0000	2.3900	115.4900
3056400.0000	2.6500	132.7100
3067200.0000	2.6700	113.8800
3078000.0000	4.0900	131.5300
3088800.0000	4.4700	125.5400
3099600.0000	3.5600	116.1300
3110400.0000	2.0500	88.6600
3121200.0000	1.5800	72.8500
3132000.0000	1.2400	52.0100
3142800.0000	1.1800	7.5900
3153600.0000	1.2100	344.1200
3164400.0000	1.6700	112.4100
3175200.0000	3.9500	111.2400
3186000.0000	4.9000	91.7400
3196800.0000	4.4700	78.2600
3207600.0000	3.6800	67.9700
3218400.0000	2.7900	44.8500
3229200.0000	1.8500	27.5300
3240000.0000	1.2900	352.3900
3250800.0000	0.5170	174.5600
3261600.0000	3.4500	142.7700
3272400.0000	2.6300	100.0300
3283200.0000	4.2500	72.8900
3294000.0000	3.5500	59.6700
3304800.0000	2.7200	47.9800
3315600.0000	3.0000	36.4500
3326400.0000	2.6500	15.2900
3337200.0000	1.4800	59.6700
3348000.0000	3.2700	113.4300
3358800.0000	4.4400	95.8600
3369600.0000	3.2400	88.9800
3380400.0000	2.4000	80.1200
3391200.0000	2.6000	65.2100
3402000.0000	1.7500	37.5900
3412800.0000	1.1100	15.6600
3423600.0000	0.6090	177.7200
3434400.0000	3.6000	155.0000
3445200.0000	5.1700	119.6900
3456000.0000	4.2400	105.4400
